,2019q2,2018q4,2019q3,2019q1,2019q4
AllowanceForDoubtfulAccountsReceivableCurrent,21888000.0,23584000.0,31280000.0,,32374000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1247743000.0,1044353000.0,1341918000.0,,1341995000.0
PreferredStockParOrStatedValuePerShare,1.0,1.0,1.0,1.0,1.0
CashAndCashEquivalentsAtCarryingValue,333547000.0,210082000.0,333547000.0,211631000.0,333547000.0
PreferredStockSharesAuthorized,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
AccountsNotesAndLoansReceivableNetCurrent,2493636000.0,2655888000.0,2493636000.0,2493636000.0,2493636000.0
InventoryNet,3684580000.0,3771089000.0,3750778000.0,3609389000.0,3718307000.0
PreferredStockSharesIssued,0.0,0.0,0.0,0.0,0.0
PrepaidExpenseAndOtherAssetsCurrent,1102970000.0,805342000.0,1034466000.0,805342000.0,1149118000.0
CommonStockParOrStatedValuePerShare,1.0,1.0,1.0,1.0,1.0
AssetsCurrent,7575690000.0,7550495000.0,8184670000.0,7575690000.0,8058671000.0
CommonStockSharesAuthorized,450000000.0,450000000.0,450000000.0,450000000.0,450000000.0
Goodwill,2192143000.0,2097990000.0,2128776000.0,2153988000.0,2128776000.0
CommonStockSharesIssued,146063911.0,146652615.0,145936613.0,146652615.0,145936613.0
FiniteLivedIntangibleAssetsNet,1449852000.0,1420480000.0,1517842000.0,618510000.0,1523656000.0
CommonStockSharesOutstanding,146063911.0,146759273.0,145936613.0,146652615.0,145936613.0
DeferredIncomeTaxAssetsNet,21178000.0,,29509000.0,40158000.0,29509000.0
PropertyPlantAndEquipmentNet,1027231000.0,936702000.0,1027231000.0,1027231000.0,1027231000.0
OperatingLeaseRightOfUseAsset,953553000.0,,961975000.0,,1048462000.0
OtherAssetsNoncurrent,522625000.0,627516000.0,528199000.0,568248000.0,455122000.0
Assets,12683040000.0,12657119000.0,12683040000.0,8859400000.0,12683040000.0
AccountsPayableTradeCurrent,4058211000.0,4036006000.0,4064547000.0,3634859000.0,4195869000.0
LongTermDebtCurrent,1032382000.0,694989000.0,711147000.0,711147000.0,711147000.0
DividendsPayableCurrent,105369000.0,105673000.0,105369000.0,99000000.0,105369000.0
OtherLiabilitiesCurrent,1343386000.0,1034441000.0,1088428000.0,1045177000.0,1088428000.0
LiabilitiesCurrent,5900733000.0,5474025000.0,6498228000.0,5900733000.0,6372813000.0
LongTermDebtNoncurrent,2389244000.0,2463452000.0,2871106000.0,2432133000.0,2795878000.0
OperatingLeaseLiabilityNoncurrent,0.0,,724682000.0,,797166000.0
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,235228000.0,200558000.0,208008000.0,,202188000.0
DeferredTaxLiabilities,196843000.0,188467000.0,212308000.0,,236064000.0
OtherLiabilitiesNoncurrent,429850000.0,501004000.0,437165000.0,501004000.0,444344000.0
PreferredStockValue,0.0,0.0,0.0,0.0,0.0
CommonStockValue,145937000.0,146653000.0,146078000.0,146653000.0,145293000.0
AdditionalPaidInCapital,77424000.0,68126000.0,78380000.0,78380000.0,78380000.0
RetainedEarningsAccumulatedDeficit,4341212000.0,4349014000.0,4341212000.0,4341212000.0,4341212000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1115078000.0,-852592000.0,-1195179000.0,-852592000.0,-1268580000.0
StockholdersEquity,3450451000.0,3611054000.0,3665328000.0,3412152000.0,3642191000.0
MinorityInterest,21540000.0,52004000.0,21540000.0,21540000.0,21540000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3572832000.0,3663079000.0,3687975000.0,3471991000.0,3664737000.0
LiabilitiesAndStockholdersEquity,14070530000.0,12412381000.0,12683040000.0,12683040000.0,12683040000.0
DeferredTaxAssetsLiabilitiesNet,,22898000.0,,,
AccruedIncomeTaxesCurrent,,23964000.0,,,
DefinedBenefitPensionPlanCurrentAndNoncurrentLiabilities,,,,235228000.0,
DeferredIncomeTaxLiabilitiesNet,,,,196843000.0,
